Designator,Footprint,Quantity,Value,LCSC Part #
"ACT_LED1, RUN_LED1",LED-SMD_L1.7-W0.6-RD,2,LED_SMD,C125113
"C1, C4",C0603,2,SMD-100nF,C30926
C2,C0603,1,SMD-1uF,C1592
C3,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,SMD-220uF_50V,C125977
CMPS14-1,CMPS14,1,~,
H1,HDR-TH_4P-P2.54-V-M-1,1,Pinhead_1x04V,C920779
"H3, H4, H5, H6",MountingHole_4.3mm_M4,4,MountingHole,
"J1, J2, J9",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
J3,USB1125GFB,1,USB1125-GF-B,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J6,J0011D21NL,1,J0011D21NL,
"J7, J8",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
"R1, R2",R_THT,2,R,
"R3, R7",R0603,2,SMD-10k,C25804
"R4, R5, R8",R0603,3,SMD-220R,C217883
"Taster_LED1, Taster_LED2",TASTER_LED,2,~,
"U1, U2",HDR-TH_6P-P2.54-V-F-R2-C3-S2.54-4,2,Pfostenstecker_6_2x3,C5372863
"U3, U4, U6, U7",X2SON-3_L1.3-W0.6-L,4,ESD122DMYR,C1975871
U5,SW-TH_5P-L6.0-W6.0-P4.50-LS6.5,1,SMD-PUSH-BTN,C470256
"U8, U9",CONN-SMD_DF40HC-3.0-100DS-0.4V-51,2,DF40HC(3_0)-100DS-0_4V(51),C424649
