Designator,Mid X,Mid Y,Rotation,Layer
ACT_LED1,66.23989,-41.2,270.0,top
C1,-59.197295,-36.992257,270.0,top
C2,-42.192258,-77.802705,180.0,top
C3,41.000127,-54.9,0.0,top
C4,34.907742,-62.202705,180.0,top
CMPS14-1,24.0,-61.8,180.0,top
H1,-49.310008,-35.0,0.0,top
J1,37.701561,-81.898438,135.0,top
J2,45.4,-74.0,315.0,top
J3,55.8,-41.4,180.0,top
J4,-0.00168,-38.090155,0.0,bottom
J6,-51.8,-50.8,180.0,top
J7,37.275,-65.3,90.0,top
J8,37.275,-69.15,90.0,top
J9,44.525,-63.65,90.0,top
R1,36.400001,-46.6,0.0,top
R2,22.72,-46.4,180.0,top
R3,-31.2,-85.2,90.0,top
R4,41.0,-78.0,0.0,top
R5,66.796634,-44.15,180.0,top
R7,29.653366,-58.65,0.0,top
R8,48.95,-70.6,45.0,top
RUN_LED1,51.4,-68.0,225.0,top
Taster_LED1,15.23,-84.807,0.0,top
Taster_LED2,-15.218083,-84.807,0.0,top
U1,23.000127,-39.999873,0.0,top
U2,39.000127,-39.999873,0.0,top
U3,-41.961571,-67.200127,180.0,top
U4,-41.961571,-64.200127,180.0,top
U5,-35.8,-81.0,135.0,top
U6,50.2,-63.061506,270.0,top
U7,48.686538,-50.599873,0.0,top
U8,-16.10067,-37.540956,0.0,top
U9,-16.101371,-71.459995,0.0,top
